ID,English version,Description,Translation 1,Translation 1 rating,Translation 2,Translation 2 rating,Translation 3,Traslation 3 rating
STATUS:,,,"Huy & Lily are integrating this into G+me.
DO NOT EDIT ANYMORE.
To make updates, please put that in Translation 3",,"Huy & Lily are integrating this into G+me.
DO NOT EDIT ANYMORE.
To make updates, please put that in Translation 3"

extensionName,G+me for Google Plus™,Name of the extension,G+me para Google Plus™
extensionName add-on,Beta,"Meaning, the testing version of G+me",Beta
extensionName add-on,PARANOID Edition,Restricted version of G+me for privacy freaks :),Edición PARANOICA
extensionDescription,"Collapses the Google+ stream while keeping live updates: hides comments, collapses posts, etc.","Description of the extension, as shown in the Web Store","Plegar las novedades de Google+ manteniendo las actualizaciones en tiempo real: esconde comentarios, plega mensajes, etc."

options_nav_general_label,Navigation,Name of the tab in the options page,Navegación
options_nav_summary_label,Post Summary,Name of the options group for the text inside the bar when a post is collapsed,Resumen
options_nav_summaryIncludeThumbnails,Collapsed posts show thumbnails of photos from content,Checkbox text,Mostrar miniaturas de las fotos del mensaje
options_nav_summaryIncludeTime,Collapsed posts show date-time,Checkbox text,Mostrar fecha y hora del mensaje

options_nav_preview_label,Post Preview,Name of the options group for mouse-over instant preview,Vista previa
options_nav_previewEnableInExpanded,Enable in expanded mode,Checkbox text,Activado en modo expandido
options_nav_previewEnableInList,Enable in list mode,Checkbox text,Activado en modo lista

options_nav_browserAction_label,Browser Icon,Name of the options group for the browser icon,Icono G+me
options_nav_browserActionOpensNewTab,"When clicking the browser icon, Google+ will be opened if not yet already opened.  Checking this checkbox will open a new tab instead of re-using the current tab",Checkbox text,"Al hacer clic sobre el icono de G+me, se abrirá Google+ si no aún está abierto. Al marcar esta casilla lo abrirá en una pestaña nueva en vez de la actual.",,Al hacer clic sobre el icono de G+me abrirá Google+ si aún no está abierto. Al marcar esta casilla lo abrirá en una pestaña nueva en vez de la actual.

options_nav_pages_label,Pages,Name of the tab in the options page,Páginas
options_nav_global_label,Global,Name of the options group that acts as defaults for all pages,Global
options_nav_global_desc,"Configure these page options if you want to configure all types of pages (Stream, circles, Incoming, Notifications, Sparks, etc.) in the same way",Instructions for the global group,"Estas opciones configuran todas páginas (Novedades, Círculos, Notificaciones, Intereses, etc.) para ser vistas de la misma manera",,"Con estas opciones configurarás todas las páginas (Novedades, Círculos, Notificaciones, Intereses, etc.) para ser vistas de la misma manera"
options_nav_global_postsDefaultMode,Collapse mode for posts:,Text before the radiobuttons,,,Modo de plegado para mensajes:
options_nav_global_postsDefaultMode_expanded,Expanded — all default to expanded,Text after one of the options for collapsed mode for posts,Ampliado — todo por defecto ampliado
options_nav_global_postsDefaultMode_list,List — collapse all except for one,Text after one of the options for collapsed mode for posts,Lista — plegar todo menos uno
options_nav_global_commentsDefaultCollapsed,Collapse all comments by default,Checkbox text,Plegar todos los comentarios por defecto

options_nav_compat_label,Compatibility,Name of the tab in the options page,Compatibilidad
options_nav_compat_desc,This page is related to compatibility with other extensions that you may have installed for Google+.<br />You can ignore these options,Introductory text for the Compatibility page,Esta página está relacionada a la compatibilidad de otras extensiones que puedas tener instaladas para Google+.<br />Puedes ignorar estas opciones.
options_nav_compatSgp_label,"SGPlus, a.k.a. Start G+",Name of the options group for SGPlus,SGPlus
options_nav_compatSgp_desc,"<b>WARNING:</b> Compatibility with SGPlus is in beta.  There are still performance and instability issues.  Each option below adds more processing to SGPlus's frequent heavy-duty refreshes, possibly slowing down your browser and causing frequent pauses (annoying when you're typing).<br />
    Please report any problems to the <a href=\""$URL$\"" target=_blank>discussion about SGPlus compatibility on Google+</a>.",b,"<b>ADVERTENCIA:</b> La compatibilidad con SGPlus está en beta. Todavía existen problemas de rendimiento y estabilidad. Cada opción de las siguientes le agrega a SGPlus más procesos, con la posibilidad de volver más lento tu navegador y causando pausas frecuentes (muy molestas al escribir).<br /> Por favor, reporta cualquier problema en la <a href=\""$URL$\"" target=_blank>discusión acerca de la compatibilidad de SGPlus en Google+</a>"
